場コード,基準節終了日,モーター番号,使用開始日,使用終了日,グレード,タイトル,使用者名,着順列
11,2026-09-09,25,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,香川 颯太,３　１４３５１４２１[５]
11,2026-09-09,25,2026-07-16,2026-07-21,一般,第７回京都新聞杯,杉山 勝匡,６　４６４　６６３　１２
11,2026-09-09,26,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,宮崎 心之介,２　３６５　１２４　６４
11,2026-09-09,26,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,松尾 昂明,１６２　１３４４４２[６]
11,2026-09-09,26,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,渡邉 優美,６　２　６５５　２５４
11,2026-09-09,27,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,小林 礼央,５　３４２　３５４　４４
11,2026-09-09,27,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,石川 真二,３５２６１　２３１２[４]
11,2026-09-09,27,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,吉川 喜継,１２６Ｆ４　５　３　２
11,2026-09-09,28,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,鰐部 太空海,３　４５６６４　５　５４
11,2026-09-09,28,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,岩田 凌,４　６３４　転６５　４３
11,2026-09-09,28,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,齊藤 仁,３　６　４６３　４５５
11,2026-09-09,29,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,宇留田 翔平,５Ｆ３　５　５　５　５
11,2026-09-09,29,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,吉川 晴人,１５２　４３２１１５４４
11,2026-09-09,29,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,丸野 一樹,５１３　２　４１２　[５]
11,2026-09-09,30,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,藤本 元輝,５２３　５５４　５　６５
11,2026-09-09,30,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,山下 智己,６　６２６　６１５　２６
11,2026-09-09,30,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,岩瀬 裕亮,４　２　４４５　５５６
11,2026-09-09,31,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,角浜 修,４　５１５５１　２６５
11,2026-09-09,31,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,守田 俊介,２３４１１　１１１２[２]
11,2026-09-09,31,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,新田 雄史,２２３　２　１５４　２２
11,2026-09-09,32,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,吉田 一心,３５１　６５１　３５３５
11,2026-09-09,32,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,網代 良芽,２４５　３４２　２６２
11,2026-09-09,32,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,泥谷 一毅,６欠
11,2026-09-09,33,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,大原 祥昌,４　６２１４１４３３１４
11,2026-09-09,33,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,岡部 哲,３　４６１４３　３５５
11,2026-09-09,33,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,稲田 浩二,４　２６４　５　４２５
11,2026-09-09,34,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,土井 歩夢,３４６４１　５　２５３
