登録番号,重み付き和,重み付き二乗和,重み計,基準日
5058,6.1676332911,1.190933045,38.7557770924,2026-09-12
5060,4.8645255909,0.8503952268,31.7850338507,2026-09-12
5061,1.4045328428,0.2771252807,8.1093688832,2026-09-12
5063,3.8949443913,0.7345176092,23.8894515891,2026-09-12
5064,4.6717694883,0.8902197663,28.6146361646,2026-09-12
5065,2.4005974471,0.3272902987,20.1000014969,2026-09-12
5066,4.4740132823,0.7788563282,30.9005045165,2026-09-12
5067,4.4299726408,0.8197430783,27.4711455979,2026-09-12
5068,4.4268937603,0.815152587,30.6218480041,2026-09-12
5069,4.5382070242,0.8307012434,29.8003411672,2026-09-12
5070,4.5271333228,0.9488388046,25.0149342721,2026-09-12
5071,2.9329230524,0.4758115776,22.2591672659,2026-09-12
5072,0.3404162711,0.0719643995,1.7877964701,2026-09-12
5073,4.785329147,0.89786218,28.425125056,2026-09-12
5074,4.6035677014,0.9382552709,25.548296854,2026-09-12
5075,4.2028190072,0.813143836,25.5108297163,2026-09-12
5076,5.2440200109,0.9796642241,34.4949391798,2026-09-12
5077,2.012025144,0.4226763272,11.6393108534,2026-09-12
5078,3.5414011926,0.749595482,19.0767808287,2026-09-12
5079,2.5867682142,0.5369347569,15.1268659582,2026-09-12
5081,3.8534565008,0.9420587667,17.4030292403,2026-09-12
5082,6.2274910671,1.396228646,32.4968253168,2026-09-12
5083,2.4554920184,0.5416640351,15.1251373875,2026-09-12
5084,2.3929191865,0.4019451163,16.6609496903,2026-09-12
5085,5.7787371072,1.2093533975,31.0700943878,2026-09-12
5086,3.7387731831,0.7455354498,21.8203595585,2026-09-12
5087,5.5019978629,1.0399052136,33.5588926295,2026-09-12
5088,4.564663288,0.788279085,33.0502104941,2026-09-12
5089,5.3203322744,0.9174900524,34.6093689114,2026-09-12
5090,2.1162004523,0.3756922074,13.0557502179,2026-09-12
5091,3.4555636481,0.5961187866,22.8098512876,2026-09-12
5092,2.4694822186,0.4373837318,16.7294682294,2026-09-12
5093,3.5873756376,0.8179934684,17.6951707071,2026-09-12
5095,3.89854797,0.6606965146,25.8919706089,2026-09-12
