記録日,場コード,モーター番号,節数,走数,Σw,Σw2,n_eff,加重平均残差,素点
2026-09-10,16,28,6,40,20.684727,11.703667,36.557596,-0.282466,-0.221796
2026-09-10,16,31,6,43,28.756268,20.316517,40.702004,-0.176911,-0.142019
2026-09-10,16,32,6,46,30.974605,22.593727,42.464271,-0.033494,-0.02711
2026-09-10,16,33,6,38,28.181185,21.690187,36.614679,0.009729,0.007642
2026-09-10,16,37,6,44,32.500016,24.860331,42.487407,0.333008,0.269562
2026-09-10,16,38,6,44,28.615876,19.51619,41.958414,0.106737,0.086194
2026-09-10,16,39,6,41,28.082947,20.275902,38.896021,0.232155,0.184675
2026-09-10,16,40,6,41,24.752245,16.451747,37.240642,-0.282877,-0.222997
2026-09-10,16,41,6,43,30.628469,22.912019,40.943711,0.033458,0.026891
2026-09-10,16,42,6,45,29.745199,20.674579,42.795398,0.016409,0.013301
2026-09-10,16,46,6,44,29.510665,21.513371,40.480841,-0.277306,-0.222373
2026-09-10,16,48,6,43,24.983028,16.223461,38.472164,-0.272979,-0.216662
2026-09-10,16,50,6,46,30.75132,21.48892,44.006104,0.091118,0.074246
2026-09-10,16,52,6,44,30.408211,22.345734,41.379678,0.19834,0.159737
2026-09-10,16,53,6,44,28.903185,19.979251,41.813085,-0.233422,-0.188371
2026-09-10,16,54,6,40,27.624071,20.38588,37.432249,-0.299286,-0.236189
2026-09-10,16,56,6,44,29.144674,20.112659,42.232706,0.072642,0.058735
2026-09-10,16,57,6,42,27.839842,19.21461,40.336847,-0.089914,-0.072052
2026-09-10,16,58,6,41,24.376734,16.005068,37.127312,0.09338,0.073566
2026-09-10,16,60,6,44,29.670673,21.543906,40.863009,0.196662,0.157997
2026-09-10,16,61,6,39,25.939189,18.274397,36.81881,0.191024,0.150223
2026-09-10,16,62,6,45,26.086981,16.293103,41.768016,0.105312,0.084969
2026-09-10,16,63,6,35,25.429182,19.202638,33.674712,-0.328688,-0.25343
2026-09-10,16,64,6,46,32.31571,23.985488,43.539039,0.240038,0.195203
2026-09-10,16,65,6,44,29.193393,20.558548,41.45498,0.12995,0.104695
2026-09-10,16,66,6,43,27.41316,18.947428,39.66139,0.13136,0.104909
2026-09-10,16,67,6,36,24.681771,17.779742,34.263143,-0.056486,-0.043724
2026-09-10,16,68,6,44,27.314463,18.657535,39.988129,-0.151624,-0.121292
2026-09-10,17,11,6,50,33.355551,24.060542,46.241386,0.055202,0.045386
2026-09-10,17,13,6,50,31.279227,20.546587,47.618131,0.204932,0.169364
2026-09-10,17,15,6,47,32.696582,24.124471,44.314607,0.406335,0.331524
2026-09-10,17,16,6,46,28.425672,18.655656,43.312272,-0.129445,-0.105165
2026-09-10,17,17,6,48,31.042567,22.058323,43.686049,-0.235013,-0.191237
2026-09-10,17,18,6,47,30.555792,21.398761,43.631331,0.017563,0.014288
2026-09-10,17,19,6,45,32.535015,24.529935,43.152467,0.010487,0.008514
2026-09-10,17,20,6,40,26.844869,19.252755,37.43085,0.008256,0.006516
2026-09-10,17,21,6,49,33.779559,24.607541,46.370283,0.181805,0.149553
2026-09-10,17,23,6,46,32.946363,24.454002,44.387944,-0.215304,-0.175717
2026-09-10,17,24,6,51,36.394335,26.925019,49.193934,0.146876,0.122063
2026-09-10,17,25,6,48,31.977482,22.808861,44.831672,0.377783,0.308884
2026-09-10,17,27,6,48,34.082829,25.073277,46.329773,-0.273051,-0.224577
2026-09-10,17,29,6,46,31.623794,22.992021,43.496149,0.26286,0.213724
2026-09-10,17,30,6,49,33.270406,24.106722,45.917478,0.115572,0.094904
2026-09-10,17,32,6,48,29.859649,20.39136,43.724334,0.126386,0.102861
2026-09-10,17,33,6,50,35.574969,26.314117,48.095037,-0.149111,-0.123444
2026-09-10,17,34,6,48,33.133901,24.222561,45.323671,0.089543,0.073357
