レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609141007,2026-09-14,10,7R,daily,2-1-3,2-1-5,5-1-2,2-1-4,3-1-5,差し,差し,まくり差し,差し,まくり差し
202609141007,2026-09-14,10,7R,realtime,3-1-5,5-1-3,5-1-2,2-1-3,3-1-2,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609141008,2026-09-14,10,8R,daily,3-1-4,3-1-2,3-1-5,3-1-6,3-4-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり
202609141008,2026-09-14,10,8R,realtime,1-3-2,2-3-1,4-3-1,1-3-4,4-3-5,差し,まくり差し,まくり,差し,まくり差し
202609141009,2026-09-14,10,9R,daily,2-1-3,2-1-4,2-1-5,2-3-1,4-1-2,差し,差し,差し,差し,まくり
202609141009,2026-09-14,10,9R,realtime,2-1-3,2-1-4,2-3-1,2-1-5,2-1-6,差し,差し,差し,差し,差し
202609141010,2026-09-14,10,10R,daily,3-1-4,3-1-2,3-1-5,2-1-3,5-1-3,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609141010,2026-09-14,10,10R,realtime,3-1-4,3-1-5,5-1-3,3-1-2,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609141011,2026-09-14,10,11R,daily,3-1-4,3-1-2,3-1-5,4-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり
202609141011,2026-09-14,10,11R,realtime,6-1-3,6-1-2,3-1-6,3-1-2,3-1-4,まくり差し,まくり差し,差し,まくり,まくり差し
202609141012,2026-09-14,10,12R,daily,2-1-3,2-1-4,2-1-5,3-1-2,2-3-1,差し,差し,差し,まくり差し,差し
202609141012,2026-09-14,10,12R,realtime,2-1-3,2-1-4,2-1-6,2-1-5,2-3-1,差し,差し,差し,差し,差し
202609141101,2026-09-14,11,1R,daily,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202609141101,2026-09-14,11,1R,realtime,3-1-2,2-1-3,3-1-4,2-1-4,3-1-5,まくり差し,差し,まくり差し,差し,まくり差し
202609141102,2026-09-14,11,2R,daily,3-1-4,3-1-2,3-1-5,4-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり
202609141102,2026-09-14,11,2R,realtime,3-1-4,4-1-3,3-1-2,3-1-5,4-1-2,まくり差し,差し,まくり差し,まくり差し,まくり
202609141103,2026-09-14,11,3R,daily,3-1-4,3-1-2,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202609141103,2026-09-14,11,3R,realtime,3-1-4,3-1-2,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し
202609141104,2026-09-14,11,4R,daily,3-1-4,3-1-2,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し
202609141104,2026-09-14,11,4R,realtime,3-1-4,3-1-2,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し
202609141105,2026-09-14,11,5R,daily,3-1-4,3-1-2,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202609141105,2026-09-14,11,5R,realtime,3-1-2,3-1-5,3-1-4,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202609141106,2026-09-14,11,6R,daily,2-1-3,2-1-4,2-1-5,2-1-6,5-1-2,差し,差し,差し,差し,まくり差し
202609141106,2026-09-14,11,6R,realtime,2-1-4,2-1-3,2-1-5,2-1-6,2-4-1,差し,差し,差し,差し,差し
202609141107,2026-09-14,11,7R,daily,2-1-3,2-1-4,2-1-5,3-1-2,3-1-4,差し,差し,差し,まくり差し,まくり差し
202609141107,2026-09-14,11,7R,realtime,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,差し,差し,差し,差し,差し
202609141108,2026-09-14,11,8R,daily,2-1-3,2-1-4,2-1-5,2-3-1,4-1-2,差し,差し,差し,差し,まくり
202609141108,2026-09-14,11,8R,realtime,2-1-3,2-1-4,2-3-1,3-1-2,2-1-5,差し,差し,差し,まくり差し,差し
202609141109,2026-09-14,11,9R,daily,3-1-4,3-1-5,3-1-2,3-1-6,3-4-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり
202609141109,2026-09-14,11,9R,realtime,3-1-5,3-1-2,3-1-4,3-1-6,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609141110,2026-09-14,11,10R,daily,3-1-4,3-1-2,4-1-2,4-1-3,3-1-5,まくり差し,まくり差し,まくり,差し,まくり差し
202609141111,2026-09-14,11,11R,daily,2-1-4,2-1-3,4-1-2,3-1-2,3-1-4,差し,差し,まくり,まくり差し,まくり差し
202609141112,2026-09-14,11,12R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し
202609141201,2026-09-14,12,1R,daily,4-1-2,2-1-4,2-1-3,4-1-5,4-1-3,まくり,差し,差し,まくり差し,差し
202609141202,2026-09-14,12,2R,daily,2-1-3,2-1-4,2-1-5,4-1-2,5-1-2,差し,差し,差し,まくり,まくり差し
202609141203,2026-09-14,12,3R,daily,2-1-3,5-1-2,2-1-4,3-1-2,2-1-5,差し,まくり差し,差し,まくり差し,差し
202609141204,2026-09-14,12,4R,daily,3-1-4,3-1-2,4-1-2,4-1-3,3-1-5,まくり差し,まくり差し,まくり,差し,まくり差し
202609141205,2026-09-14,12,5R,daily,4-1-2,2-1-3,4-1-3,3-1-2,2-1-4,まくり,差し,差し,まくり差し,差し
202609141206,2026-09-14,12,6R,daily,3-1-4,3-1-2,4-1-2,3-1-5,2-1-3,まくり差し,まくり差し,まくり,まくり差し,差し
202609141207,2026-09-14,12,7R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202609141208,2026-09-14,12,8R,daily,3-1-2,3-1-4,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202609141209,2026-09-14,12,9R,daily,3-1-2,2-1-3,3-1-4,2-1-4,3-1-5,まくり差し,差し,まくり差し,差し,まくり差し
202609141210,2026-09-14,12,10R,daily,2-1-4,2-1-3,3-1-2,3-1-4,2-1-5,差し,差し,まくり差し,まくり差し,差し
202609141211,2026-09-14,12,11R,daily,2-1-3,3-1-2,2-1-4,2-1-5,3-1-4,差し,まくり差し,差し,差し,まくり差し
202609141212,2026-09-14,12,12R,daily,3-1-4,3-1-2,3-1-5,5-1-2,5-1-3,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609141801,2026-09-14,18,1R,daily,3-1-2,3-1-5,3-1-4,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり
202609141801,2026-09-14,18,1R,realtime,3-1-5,3-1-2,5-1-3,2-1-3,2-1-5,まくり差し,まくり差し,まくり差し,差し,差し
202609141802,2026-09-14,18,2R,daily,2-1-3,3-1-2,2-1-4,3-1-4,2-3-1,差し,まくり差し,差し,まくり差し,差し
202609141802,2026-09-14,18,2R,realtime,3-1-2,3-1-4,2-1-3,3-2-1,2-3-1,まくり差し,まくり差し,差し,まくり,差し
202609141803,2026-09-14,18,3R,daily,3-1-4,2-1-3,3-1-2,2-1-4,3-1-6,まくり差し,差し,まくり差し,差し,まくり差し
202609141803,2026-09-14,18,3R,realtime,3-1-6,3-1-4,3-1-5,2-1-3,3-1-2,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609141804,2026-09-14,18,4R,daily,2-1-4,2-1-3,2-1-5,4-1-2,2-4-1,差し,差し,差し,まくり,差し
202609141804,2026-09-14,18,4R,realtime,2-1-5,2-1-3,2-1-4,2-5-1,5-1-2,差し,差し,差し,差し,まくり差し
202609141805,2026-09-14,18,5R,daily,3-1-4,3-1-2,2-1-3,4-1-3,3-1-5,まくり差し,まくり差し,差し,差し,まくり差し
202609141805,2026-09-14,18,5R,realtime,3-1-4,4-1-3,3-1-2,2-1-3,3-1-5,まくり差し,差し,まくり差し,差し,まくり差し
202609141806,2026-09-14,18,6R,daily,3-1-2,3-1-4,3-1-5,3-2-1,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
