レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609130803,2026-09-13,08,03R,4764,0.1729,0.1299,0.2159,5346,0.2012,0.1477,0.2547,4045,0.1514,0.1102,0.1926,5439,0.2081,0.1497,0.2665,4909,0.1697,0.1332,0.2061,5182,0.1561,0.1116,0.2007
202609130804,2026-09-13,08,04R,5254,0.2148,0.1654,0.2641,5146,0.1556,0.1185,0.1928,4190,0.1646,0.1221,0.207,5272,0.1729,0.1316,0.2142,5079,0.1792,0.1321,0.2263,5438,0.1957,0.154,0.2374
202609130805,2026-09-13,08,05R,3232,0.1475,0.1129,0.1821,4938,0.1372,0.0999,0.1744,5347,0.1947,0.1426,0.2469,5436,0.1978,0.1457,0.2499,4964,0.1384,0.1007,0.1761,4897,0.1927,0.1496,0.2359
202609130806,2026-09-13,08,06R,4825,0.1184,0.0807,0.1561,5230,0.1947,0.1404,0.249,5251,0.158,0.1152,0.2009,4479,0.1809,0.1405,0.2213,5203,0.147,0.1133,0.1808,5155,0.1462,0.104,0.1885
202609130807,2026-09-13,08,07R,4765,0.1342,0.1035,0.1649,5078,0.1837,0.1402,0.2273,5182,0.1367,0.0922,0.1813,5340,0.1553,0.104,0.2066,4502,0.1396,0.0977,0.1815,5357,0.1841,0.1291,0.2391
202609130808,2026-09-13,08,08R,5365,0.209,0.1534,0.2646,4556,0.1486,0.1106,0.1866,4534,0.1906,0.1451,0.2362,5324,0.1998,0.1564,0.2432,5439,0.211,0.1526,0.2694,5272,0.1893,0.148,0.2306
202609130809,2026-09-13,08,09R,4909,0.1623,0.1258,0.1987,5129,0.146,0.1079,0.1842,5194,0.1719,0.1295,0.2144,5347,0.1977,0.1456,0.2499,4190,0.1705,0.128,0.2129,5296,0.1929,0.1486,0.2373
202609130810,2026-09-13,08,10R,4938,0.1297,0.0924,0.1669,5079,0.1793,0.1322,0.2264,4726,0.1308,0.0914,0.1702,5346,0.1982,0.1447,0.2517,4825,0.1258,0.0881,0.1635,4941,0.2181,0.1787,0.2575
202609130811,2026-09-13,08,11R,4964,0.131,0.0933,0.1687,5052,0.1515,0.1009,0.2021,5254,0.2163,0.1669,0.2656,4502,0.1367,0.0948,0.1786,5230,0.1946,0.1403,0.2489,5297,0.2109,0.1673,0.2545
202609130812,2026-09-13,08,12R,4433,0.1671,0.1238,0.2104,3232,0.155,0.1204,0.1896,4556,0.1426,0.1046,0.1806,4208,0.1393,0.1024,0.1761,5146,0.1555,0.1184,0.1927,5188,0.1532,0.1103,0.1962
